App,Category,Rating,Reviews,Size,Installs,Type,Price,Content_Rating,Last Updated
ROBLOX,GAME,4.5,4447388,67,100000000,Free,0,Everyone 10+,20180731
Subway Surfers,GAME,4.5,27722264,76,1000000000,Free,0,Everyone 10+,20180801
Candy Crush Saga,GAME,4.4,22426677,77,500000000,Free,0,Everyone,20180802
Solitaire,GAME,4.7,254258,23,10000000,Free,0,Everyone,20180803
Bubble Shooter,GAME,4.5,148897,46,10000000,Free,0,Everyone,20180804
Hello Kitty Nail Salon,GAME,4.2,369203,24,50000000,Free,0,Everyone,20180805
slither.io,GAME,4.4,5234162,,100000000,Free,0,Everyone,20180806
Clash Royale,GAME,4.6,23133508,97,100000000,Free,0,Everyone 10+,20180807
Temple Run 2,GAME,4.3,8118609,62,500000000,Free,0,Everyone,20180808
Pou,GAME,4.3,10485308,24,500000000,Free,0,Everyone,20180809
Helix Jump,GAME,4.2,1497361,33,100000000,Free,0,Everyone,20180810
Block Puzzle,GAME,4.6,59800,7.8,5000000,Free,0,Everyone,20180811
Angry Birds Rio,GAME,4.4,2610526,46,100000000,Free,0,Everyone,20180812
Plants vs. Zombies FREE,GAME,4.4,4066989,69,100000000,Free,0,Everyone 10+,20180813
Sonic Dash,GAME,4.5,3778921,75,100000000,Free,0,Everyone,20180814
Candy Crush Soda Saga,GAME,4.4,6198563,67,100000000,Free,0,Everyone,20180815
Zombie Hunter King,GAME,4.3,10306,50,1000000,Free,0,Mature 17+,20180816
Clash of Clans,GAME,4.6,44891723,98,100000000,Free,0,Everyone 10+,20180817
Kick the Buddy,GAME,4.3,1000417,,50000000,Free,0,Teen,20180818
Block Puzzle Classic Legend !,GAME,4.2,17039,4.9,5000000,Free,0,Everyone,20180819
PAC-MAN,GAME,4.2,685981,37,100000000,Free,0,Everyone,20180820
Super Jim Jump - pixel 3d,GAME,4.5,10393,18,1000000,Free,0,Everyone,20180821
8 Ball Pool,GAME,4.5,14198297,52,100000000,Free,0,Everyone,20180822
Magic Tiles 3,GAME,4.5,592068,,50000000,Free,0,Everyone,20180823
Bubble Witch 3 Saga,GAME,4.7,1732263,78,50000000,Free,0,Everyone,20180824
Word Search,GAME,4.7,295241,3.9,10000000,Free,0,Everyone,20180825
Granny,GAME,4.5,1135631,59,50000000,Free,0,Teen,20180826
Angry Birds Classic,GAME,4.4,5566669,97,100000000,Free,0,Everyone,20180827
Flow Free,GAME,4.3,1295557,11,100000000,Free,0,Everyone,20180828
Race the Traffic Moto,GAME,3.8,270687,38,10000000,Free,0,Teen,20180829
Fishdom,GAME,4.6,2157930,,10000000,Free,0,Everyone,20180830
Galaxy Attack: Alien Shooter,GAME,4.6,506275,,10000000,Free,0,Everyone,20180831
